Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
0.433504900,1,0,0,0,0
0.433510300,1,0,0,0,1
0.433515600,1,0,0,0,0
0.433520900,1,0,0,0,1
0.433526200,1,0,0,0,0
0.433531600,1,0,0,0,1
0.433536900,1,0,0,0,0
0.433542200,1,0,0,0,1
0.433547600,1,0,0,0,0
0.433552900,1,0,0,0,1
0.433558200,1,0,0,0,0
0.433563600,1,0,0,0,1
0.433568900,1,0,0,0,0
0.433574300,1,0,0,0,1
0.433579600,1,0,0,0,0
0.433585000,1,0,0,0,1
0.433590400,1,0,0,0,0
0.433595700,1,0,0,0,1
0.433601100,1,0,0,0,0
0.433606500,1,0,0,0,1
0.433611800,1,0,0,0,0
0.433617200,1,0,0,0,1
0.433622600,1,0,0,0,0
0.433628000,1,0,0,0,1
0.433633300,1,0,0,0,0
0.433638700,1,0,0,0,1
0.433644100,1,0,0,0,0
0.433649500,1,0,0,0,1
0.433654900,1,0,0,0,0
0.433660300,1,0,0,0,1
0.433665700,1,0,0,0,0
0.433671100,1,0,0,0,1
0.433676500,1,0,0,0,0
0.433681900,1,0,0,0,1
0.433687400,1,0,0,0,0
0.433692800,1,0,0,0,1
0.433698200,1,0,0,0,0
0.433703600,1,0,0,0,1
0.433709000,1,0,0,0,0
0.433714500,1,0,0,0,1
0.433719900,1,0,0,0,0
0.433725300,1,0,0,0,1
0.433730800,1,0,0,0,0
0.433736200,1,0,0,0,1
0.433741700,1,0,0,0,0
0.433747100,1,0,0,0,1
0.433752600,1,0,0,0,0
0.433758000,1,0,0,0,1
0.433763500,1,0,0,0,0
0.433769000,1,0,0,0,1
0.433774400,1,0,0,0,0
0.433779900,1,0,0,0,1
0.433785400,1,0,0,0,0
0.433790800,1,0,0,0,1
0.433796300,1,0,0,0,0
0.433801800,1,0,0,0,1
0.433807300,1,0,0,0,0
0.433812800,1,0,0,0,1
0.433818300,1,0,0,0,0
0.433823800,1,0,0,0,1
0.433829300,1,0,0,0,0
0.433834800,1,0,0,0,1
0.433840300,1,0,0,0,0
0.433845800,1,0,0,0,1
0.433851300,1,0,0,0,0
0.433856800,1,0,0,0,1
0.433862400,1,0,0,0,0
0.433867900,1,0,0,0,1
0.433873400,1,0,0,0,0
0.433879000,1,0,0,0,1
0.433884500,1,0,0,0,0
0.433890000,1,0,0,0,1
0.433895600,1,0,0,0,0
0.433901100,1,0,0,0,1
0.433906700,1,0,0,0,0
0.433912200,1,0,0,0,1
0.433917800,1,0,0,0,0
0.433923300,1,0,0,0,1
0.433928900,1,0,0,0,0
0.433934500,1,0,0,0,1
0.433940100,1,0,0,0,0
0.433945600,1,0,0,0,1
0.433951200,1,0,0,0,0
0.433956800,1,0,0,0,1
0.433962400,1,0,0,0,0
0.433968000,1,0,0,0,1
0.433973600,1,0,0,0,0
0.433978400,0,0,0,0,0
0.433979000,0,1,0,0,0
0.433979200,0,1,0,0,1
0.433984800,0,1,0,0,0
0.433990400,0,1,0,0,1
