Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.747811400,0,1,0,0
0.747820400,1,1,0,0
0.749812900,1,1,0,1
0.752818500,0,1,0,1
0.752827700,0,1,0,0
0.754820200,0,0,0,0
0.755821500,0,0,0,1
0.757826300,0,0,1,1
0.757835500,1,0,1,1
0.758826900,1,0,1,0
0.761830900,1,1,1,0
0.761840000,1,1,1,1
0.762831200,0,1,1,1
0.764834900,0,1,1,0
0.767839000,1,1,1,0
0.767848100,1,1,1,1
0.768840100,1,1,0,1
0.768849300,1,0,0,1
0.770843500,1,0,0,0
0.772845600,0,0,0,0
0.773846800,0,0,0,1
0.775849400,0,1,0,1
0.776850900,0,1,0,0
0.777853800,1,1,0,0
0.779857100,1,1,1,0
0.779866200,1,1,1,1
0.782861100,1,0,1,1
0.782870000,0,0,1,1
0.782878800,0,0,1,0
0.785863800,0,0,1,1
0.787865900,1,0,1,1
0.788867300,1,0,1,0
0.789868500,1,1,1,0
0.790869900,1,1,0,0
0.791871300,1,1,0,1
0.792873900,0,1,0,1
0.794876400,0,1,0,0
0.796878700,0,0,0,0
0.797880900,1,0,0,0
0.797889900,1,0,0,1
0.800885000,1,0,0,0
0.801886400,1,0,1,0
0.802887700,0,0,1,0
0.803889700,0,1,1,0
0.803898700,0,1,1,1
0.806893900,0,1,1,0
0.807894900,1,1,1,0
0.809897600,1,1,1,1
0.810899100,1,0,1,1
0.812903000,1,0,0,1
0.812912000,0,0,0,1
0.812921000,0,0,0,0
0.815906200,0,0,0,1
0.817909400,0,1,0,1
0.817918600,1,1,0,1
0.818911400,1,1,0,0
0.821914700,1,1,0,1
0.822916000,0,1,0,1
0.823917400,0,1,1,1
0.824919500,0,0,1,1
0.824928500,0,0,1,0
0.827924800,1,0,1,0
0.827933900,1,0,1,1
0.830929400,1,0,1,0
0.831930800,1,1,1,0
0.832932300,0,1,1,0
0.833933600,0,1,1,1
0.834934800,0,1,0,1
0.836937700,0,1,0,0
0.837939200,1,1,0,0
0.838940600,1,0,0,0
0.839942100,1,0,0,1
0.842947600,0,0,0,1
0.842956800,0,0,0,0
0.845951800,0,0,1,0
0.845960800,0,1,1,0
0.845969800,0,1,1,1
0.847953900,1,1,1,1
0.848955100,1,1,1,0
0.851960000,1,1,1,1
0.852962000,1,0,1,1
0.852971100,0,0,1,1
0.854963700,0,0,1,0
0.856966200,0,0,0,0
0.857968200,1,0,0,0
0.857977200,1,0,0,1
0.859971200,1,1,0,1
0.860972300,1,1,0,0
0.862974500,0,1,0,0
0.863975900,0,1,0,1
0.866981300,0,0,0,1
0.866990500,0,0,0,0
0.867982400,0,0,1,0
0.867991500,1,0,1,0
0.869983900,1,0,1,1
0.872989500,0,0,1,1
0.872998500,0,0,1,0
0.873989600,0,1,1,0
0.875992200,0,1,1,1
0.877996400,1,1,1,1
0.878998400,1,1,0,1
0.879007500,1,1,0,0
0.880999700,1,0,0,0
0.882000900,1,0,0,1
0.883002000,0,0,0,1
0.885006400,0,0,0,0
0.888011400,0,1,0,0
0.888020300,1,1,0,0
0.888029300,1,1,0,1
0.890013600,1,1,1,1
0.891015000,1,1,1,0
0.893017200,0,1,1,0
0.894018500,0,1,1,1
0.895019500,0,0,1,1
0.897022100,0,0,1,0
0.898024700,1,0,1,0
0.900027300,1,0,1,1
0.901028700,1,0,0,1
0.902030100,1,1,0,1
0.903032000,0,1,0,1
0.903040900,0,1,0,0
0.906036300,0,1,0,1
0.908039500,1,1,0,1
0.909041800,1,0,0,1
0.909051000,1,0,0,0
0.912047500,1,0,1,0
0.912056700,1,0,1,1
0.913047900,0,0,1,1
0.915050500,0,0,1,0
0.916051800,0,1,1,0
0.918055300,1,1,1,0
0.918064500,1,1,1,1
0.921059700,1,1,1,0
0.923063600,1,1,0,0
0.923072600,1,0,0,0
0.923081600,0,0,0,0
0.924064400,0,0,0,1
0.927067800,0,0,0,0
0.928068900,1,0,0,0
0.930072100,1,1,0,0
0.930081300,1,1,0,1
0.933077000,0,1,0,1
0.933086200,0,1,0,0
0.934077400,0,1,1,0
0.936080000,0,1,1,1
0.937081200,0,0,1,1
0.938082500,1,0,1,1
0.939085100,1,0,1,0
0.942088500,1,0,1,1
0.943089800,0,0,1,1
0.944091200,0,1,1,1
0.945093300,0,1,0,1
0.945102500,0,1,0,0
0.948098500,1,1,0,0
0.948107500,1,1,0,1
0.951102500,1,0,0,1
0.951111600,1,0,0,0
0.953106000,0,0,0,0
0.954107600,0,0,0,1
0.956110100,0,0,1,1
0.957111500,0,0,1,0
0.958113600,0,1,1,0
0.958122600,1,1,1,0
0.960116500,1,1,1,1
0.963120800,0,1,1,1
0.963130000,0,1,1,0
0.965124000,0,0,1,0
0.966125300,0,0,1,1
0.967126500,0,0,0,1
0.968127800,1,0,0,1
0.969129000,1,0,0,0
0.972134800,1,1,0,0
0.972144000,1,1,0,1
0.973135000,0,1,0,1
0.975137300,0,1,0,0
0.978142300,0,1,1,0
0.978151300,1,1,1,0
0.978160300,1,1,1,1
0.979143100,1,0,1,1
0.981145400,1,0,1,0
